の	525187	の	no
は	365974	は	ha
に	331539	に	ni
だ	319137	だ	da
が	282897	が	ga
を	234716	を	wo
する	202389	する	suru
か	183845	か	ka
よ	168928	よる, よ	yoru, yo
と	151988	と	to
も	146683	も	mo
で	124439	で	de
ね	108469	ね	ne
な	98829	な	na
です	97038	です	desu
から	93508	から	kara
いる	82898	いる	iru
こと	76167	こと, そう	koto, sou
って	65307	って, て	tte, te
何	63659	なに, なん	nani, nan
じゃ	61036	じゃあ, じゃ	jaa, ja
なる	60343	なる	naru
ある	59614	ある	aru
んだ	50847	のです, のだ, んです, んだ	nodesu, noda, ndesu, nda
私	49168	わたし, わたくし	watashi, watakushi
ん	47611	ん	n
ない	47307	ない	nai
俺	43149	おれ	ore
いい	42712	いい	ii
言う	42187	いう, ゆう	iu, yuu
それ	39961	それ	sore
さん	38983	さん	san
けど	36323	けど, けれど, けれども, けども, けんど	kedo, keredo, keredomo, kedomo, kendo
やる	35840	やる	yaru
この	34951	きゅう, く, ここの, この, ここ	kyuu, ku, kokono, kono, koko
思う	33960	おもう	omou
これ	33720	これ	kore
でも	32654	でも	demo
あっ	32626	あっ, アッ, あ, ア	a, a, a, a
わ	28546	われ, わ	ware, wa
お前	27397	おまえ, おまい, おめえ	omae, omai, omee
君	27133	きみ	kimi
くる	26242	くる	kuru
だけ	25019	だけ	dake
行く	24851	いく, ゆく	iku, yuku
くれる	24788	くれる	kureru
あ	24736	おし, あ	oshi, a
その	24631	その	sono
ぞ	24582	ぞ, ぜ	zo, ze
あの	24511	あの, かの	ano, kano
く	24499	く	ku
分かる	24025	わかる	wakaru
ちゃん	23923	ちゃん	chan
もう	23905	もう	mou
ー	23627	ー	-
見る	23533	みる	miru
や	23397	や	ya
今	23340	いま	ima
まで	23019	まで	made
そう	22754	そう	sou
ああ	22195	ああ, あー, アー, アア	aa, a-, a-, aa
うん	21915	うん, うむ, ううむ	un, umu, uumu
どう	21650	どう, いかが, いか	dou, ikaga, ika
お	21302	お	o
できる	20798	できる	dekiru
え	20423	え	e
来る	20355	くる	kuru
ここ	19794	ここ	koko
ちょっと	18622	ちょっと, ちょと, チョット, ちょいと, チョッと	chotto, choto, chotto, choito, chotto
そんな	18312	そんな	sonna
し	18125	あずさ, し, アズサ	azusa, shi, azusa
さ	18090	さ	sa
えっ	18009	えっ	e
はい	17069	はい	hai
んです	17067	のです, のだ, んです, んだ	nodesu, noda, ndesu, nda
なんだ	16775	なんだ, なあんだ	nanda, naanda
僕	16640	しもべ	shimobe
だって	16341	だって	datte
人	16002	じん	jin
いや	15584	いいえ, いいや, いえ, いな, いや	iie, iiya, ie, ina, iya
とか	15379	とか	toka
なんて	14819	なんて	nante
出る	14383	でる	deru
じゃあ	14010	じゃあ, じゃ	jaa, ja
ぜ	13948	ぞ, ぜ	zo, ze
知る	13668	しる	shiru
いう	13664	ゆう, いう	yuu, iu
聞く	13062	きく	kiku
みたい	13032	みたい	mitai
という	12976	という	toiu
へ	12956	おなら, へ	onara, he
誰	12929	だれ	dare
もの	12852	もの, もん	mono, mon
あれ	12535	あれ	are
いく	12515	いく	iku
よい	12424	よい	yoi
自分	12250	じぶん	jibun
こんな	11899	こんな	konna
気	11862	き	ki
大丈夫	11792	だいじょうぶ, だいじょぶ	daijoubu, daijobu
まだ	11646	まだ, いまだ	mada, imada
待つ	11602	まつ	matsu
みんな	11462	みんな, みな	minna, mina
今日	11446	きょう, こんにち, こんち, こんじつ	kyou, konnichi, konchi, konjitsu
のに	11330	のに	noni
よう	11133	かたち, よう	katachi, you
前	11060	さき	saki
すごい	11047	すごい, スゴイ, スゴい	sugoi, sugoi, sugoi
ねえ	11011	ね, ねえ	ne, nee
あなた	10859	あなた	anata
ため	10834	ため	tame
